country,revenue,orders,customers,units_sold
United Kingdom,17814055.91,36535,5350,9349186
EIRE,664050.09,626,5,340054
Netherlands,554230.69,228,22,383976
Germany,430703.79,789,107,227769
France,356746.51,622,95,275090
Australia,169900.61,95,15,104080
Spain,109127.21,154,41,50774
Switzerland,100988.99,93,22,52872
Sweden,91869.82,105,19,88633
Denmark,69862.19,43,12,237925
Belgium,65733.92,149,29,35296
Norway,60109.62,45,13,27203
Portugal,57948.05,95,24,28379
Japan,47138.39,33,10,33327
Channel Islands,44986.86,55,13,21476
Italy,32535.97,65,17,15476
Finland,29925.54,57,14,14375
Singapore,25317.06,11,1,6994
Cyprus,24849.95,37,11,10950
Hong Kong,23685.52,15,0,7021
Austria,23613.01,45,13,11578
Greece,19096.19,18,5,7724
Israel,11328.81,10,4,5538
United Arab Emirates,11097.63,16,4,7321
Unspecified,10927.16,24,6,6729
Poland,10902.45,28,6,5828
USA,8366.86,20,9,5264
Malta,8099.09,9,2,2519
Lithuania,6553.74,6,1,2958
Iceland,5633.32,8,1,3286
Canada,4883.04,8,5,3657
RSA,4804.32,4,2,1970
Bahrain,3109.79,10,2,1339
Thailand,3070.54,2,1,2552
Lebanon,1905.58,2,1,458
Brazil,1411.87,2,2,545
European Community,1300.25,4,1,499
Bermuda,1253.14,1,0,2798
Korea,1118.51,2,2,700
Czech Republic,826.74,2,1,671
West Indies,536.41,1,1,395
Saudi Arabia,145.92,1,1,80
Nigeria,140.39,2,1,103
