customer_id,revenue,orders,units_purchased,first_purchase,latest_purchase
18102,608821.65,145,188340,2009-12-01 09:24:00,2011-12-09 11:50:00
14646,528602.52,151,367193,2009-12-02 16:52:00,2011-12-08 12:12:00
14156,313759.82,156,165873,2009-12-01 12:30:00,2011-11-30 10:54:00
14911,295832.39,398,149949,2009-12-01 11:41:00,2011-12-08 15:54:00
17450,246813.09,51,84700,2010-09-27 16:59:00,2011-12-01 13:29:00
13694,196482.81,143,189205,2009-12-04 15:26:00,2011-12-06 09:32:00
17511,175603.55,60,119656,2009-12-02 10:52:00,2011-12-07 10:12:00
16446,168472.5,2,80997,2011-05-18 09:52:00,2011-12-09 09:15:00
16684,147142.77,55,104810,2009-12-07 12:56:00,2011-12-05 14:06:00
12415,144458.37,28,91447,2010-06-30 08:30:00,2011-11-15 14:22:00
15061,137818.52,127,80711,2009-12-01 12:18:00,2011-12-06 12:06:00
16029,122035.14,107,56386,2009-12-08 11:23:00,2011-11-01 10:27:00
17949,118628.08,118,60658,2009-12-02 11:07:00,2011-12-08 18:46:00
13089,116647.53,203,60150,2009-12-02 15:44:00,2011-12-07 09:02:00
15311,116575.49,208,70931,2009-12-01 11:21:00,2011-12-09 12:00:00
12931,92347.34,57,62906,2009-12-01 11:46:00,2011-11-18 12:39:00
14298,91194.49,82,100272,2009-12-11 13:49:00,2011-12-01 13:12:00
15769,88704.32,46,49104,2009-12-11 09:58:00,2011-12-02 13:52:00
12346,77556.46,12,74285,2009-12-14 08:34:00,2011-01-18 10:01:00
13798,75836.87,110,48347,2009-12-08 16:21:00,2011-12-08 15:51:00
15838,74163.0,34,64664,2009-12-15 09:51:00,2011-11-28 14:00:00
17841,70081.86,211,37166,2009-12-02 15:41:00,2011-12-08 12:07:00
16754,67502.47,29,67831,2010-03-08 11:32:00,2010-12-02 17:38:00
14096,65164.79,17,16352,2011-08-30 10:49:00,2011-12-05 17:17:00
14088,64036.8,16,15276,2010-10-14 19:46:00,2011-11-29 16:16:00
16422,63589.07,109,66273,2010-01-12 11:57:00,2011-11-22 14:00:00
13081,59205.15,28,41423,2009-12-08 13:58:00,2011-11-28 10:54:00
14680,57369.38,58,27358,2009-12-04 12:36:00,2011-11-14 16:59:00
17389,57215.33,61,17880,2009-12-04 12:06:00,2011-12-09 09:38:00
