customer_id,first_purchase_date,latest_purchase_date,frequency,monetary,units_purchased,recency_days,customer_lifetime_days,average_order_value,recency_score,frequency_score,monetary_score,rfm_score,customer_segment
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,74285,326,400,6463.04,2,5,5,255,At Risk
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,5633.32,3286,2,402,704.16,5,4,5,545,Champions
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2019.4,2714,75,362,403.88,3,4,4,344,Loyal Customers
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,4428.69,1624,19,570,1107.17,5,3,5,535,Potential Loyalists
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,197,310,0,334.4,2,1,2,212,Hibernating
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,375,0,300.93,2,1,2,212,Hibernating
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,2849.84,724,36,356,284.98,4,5,4,454,Champions
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.76,212,204,204,203.38,2,2,2,222,Hibernating
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,232,0,1079.4,2,1,3,213,Hibernating
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.61,543,214,353,473.8,2,2,3,223,Hibernating
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,6371.73,3416,23,401,1061.96,4,4,5,445,Champions
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,3,18287.66,6587,33,355,6095.89,4,3,5,435,Potential Loyalists
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,3887.07,1079,2,730,777.41,5,4,5,545,Champions
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,8873.39,2739,58,676,887.34,4,5,5,455,Champions
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,8,4252.89,2459,52,603,531.61,4,4,5,445,Champions
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,511.25,235,287,394,127.81,2,3,2,232,Hibernating
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,11,5356.23,2230,3,735,486.93,5,5,5,555,Champions
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,408,110,132,276.0,3,2,2,322,Need Attention
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,1506,8,104,328.28,5,3,4,534,Potential Loyalists
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,174,291,0,320.69,2,2,3,223,Hibernating
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,296,634,0,500.24,1,1,2,112,Lost Customers
