year,month_number,month_name,year_month,revenue,orders,customers,units_sold
2009,12,December,2009-12,822483.95,1682,955,425461
2010,1,January,2010-01,651155.11,1105,720,390672
2010,2,February,2010-02,551504.72,1201,772,381879
2010,3,March,2010-03,830915.26,1681,1057,526026
2010,4,April,2010-04,678875.25,1462,942,366705
2010,5,May,2010-05,657705.5,1500,966,395868
2010,6,June,2010-06,749537.31,1645,1041,406820
2010,7,July,2010-07,648810.27,1529,928,337895
2010,8,August,2010-08,695251.91,1425,911,472380
2010,9,September,2010-09,921696.99,1839,1145,583864
2010,10,October,2010-10,1161902.22,2301,1497,619996
2010,11,November,2010-11,1464293.14,2747,1607,725161
2010,12,December,2010-12,1259083.75,1559,885,538239
2011,1,January,2011-01,689811.61,1086,741,387099
2011,2,February,2011-02,522545.56,1100,758,282934
2011,3,March,2011-03,716215.26,1454,974,376599
2011,4,April,2011-04,536968.49,1246,856,307953
2011,5,May,2011-05,769296.61,1681,1056,395001
2011,6,June,2011-06,760547.01,1533,991,388511
2011,7,July,2011-07,718076.12,1475,949,399693
2011,8,August,2011-08,757841.38,1361,935,421020
2011,9,September,2011-09,1056435.19,1837,1266,569573
2011,10,October,2011-10,1151263.73,2040,1364,621029
2011,11,November,2011-11,1503866.78,2769,1664,751377
2011,12,December,2011-12,637808.33,819,615,313613
