stock_code,description,revenue,units_sold,orders
22423,REGENCY CAKESTAND 3 TIER,344069.3,27536,3918
M,Manual,340327.63,9748,784
DOT,DOTCOM POSTAGE,322657.48,1436,1415
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262768.47,96027,5365
85099B,JUMBO BAG RED RETROSPOT,183136.14,98175,3989
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
47566,PARTY BUNTING,149109.35,28362,2674
84879,ASSORTED COLOUR BIRD ORNAMENT,131817.81,81590,2807
POST,POSTAGE,127597.42,5461,1851
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123002.89,36534,2018
79321,CHILLI LIGHTS,85157.56,16763,1135
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033,247
22197,SMALL POPCORN HOLDER,80888.34,89860,2322
22386,JUMBO BAG PINK POLKADOT,77049.38,39809,2245
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74380.07,32498,756
20725,LUNCH BAG RED RETROSPOT,72001.35,40752,3056
21137,BLACK RECORD COVER FRAME,69295.72,19945,634
85099F,JUMBO BAG STRAWBERRY,68382.73,37072,1830
20685,DOORMAT RED RETROSPOT,67812.32,9968,1725
48138,DOORMAT UNION FLAG,67629.75,10157,1664
23084,RABBIT NIGHT LIGHT,66870.03,30739,994
21843,RED RETROSPOT CAKE STAND,66348.55,6263,1527
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63362.35,12420,1583
82484,WOOD BLACK BOARD ANT WHITE FINISH,62778.72,11046,1176
21931,JUMBO STORAGE BAG SUKI,62257.72,29489,2329
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61671.84,19580,1427
22502,PICNIC BASKET WICKER SMALL,61466.47,3861,924
22112,CHOCOLATE HOT WATER BOTTLE,60644.32,11532,1721
21621,VINTAGE UNION JACK BUNTING,60549.54,6931,1292
85099C,JUMBO BAG BAROQUE BLACK WHITE,60103.56,31153,1868
15056N,EDWARDIAN PARASOL NATURAL,58403.79,11366,1033
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58149.35,27669,2192
22470,HEART OF WICKER LARGE,55772.02,18508,1952
22189,CREAM HEART CARD HOLDER,54547.38,18350,1299
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,53335.66,18952,2030
22178,VICTORIAN GLASS HANGING T-LIGHT,53105.59,40572,1816
22139,RETROSPOT TEA SET CERAMIC 11 PC,53085.61,10649,2093
21212,PACK OF 72 RETROSPOT CAKE CASES,52948.8,96472,3118
21623,VINTAGE UNION JACK MEMOBOARD,52082.93,7196,530
22111,SCOTTIE DOG HOT WATER BOTTLE,51936.86,10163,1689
21733,RED HANGING HEART T-LIGHT HOLDER,51441.92,17960,1760
84946,ANTIQUE SILVER TEA GLASS ETCHED,51148.47,37919,1769
22469,HEART OF WICKER SMALL,51088.16,29013,2151
21181,PLEASE ONE PERSON METAL SIGN,50818.92,25028,1810
22090,PAPER BUNTING RETROSPOT,50723.6,16798,1703
21232,STRAWBERRY CERAMIC TRINKET BOX,50660.48,38901,2435
21929,JUMBO BAG PINK VINTAGE PAISLEY,50300.82,25937,1619
48194,DOORMAT HEARTS,49542.47,7835,1349
21731,RED TOADSTOOL LED NIGHT LIGHT,49508.34,29696,1537
22457,NATURAL SLATE HEART CHALKBOARD,48423.25,15687,2046
15056BL,EDWARDIAN PARASOL BLACK,47828.19,9600,857
21754,HOME BUILDING BLOCK WORD,47774.74,7796,2066
84029E,RED WOOLLY HOTTIE WHITE HEART.,47479.83,11757,1145
21523,DOORMAT FANCY FONT HOME SWEET HOME,47194.58,7046,1122
48187,DOORMAT NEW ENGLAND,47026.85,7395,1282
21928,JUMBO BAG SCANDINAVIAN PAISLEY,47023.18,24743,1542
22355,CHARLOTTE BAG SUKI DESIGN,46584.99,32635,1742
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,46519.13,15719,809
20727,LUNCH BAG BLACK SKULL.,46283.89,27042,2351
48185,DOORMAT FAIRY CAKE,46050.99,6855,983
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366,1914
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44943.43,15655,1391
21915,RED HARMONICA IN BOX,44680.05,38088,1025
82494L,WOODEN FRAME ANTIQUE WHITE,44667.1,15601,1973
21175,GIN + TONIC DIET METAL SIGN,44282.23,20856,1659
84078A,SET/4 WHITE RETRO STORAGE CUBES,43921.51,1129,328
22383,LUNCH BAG SUKI DESIGN,43836.86,25403,2398
23298,SPOTTY BUNTING,43148.18,8466,1146
20728,LUNCH BAG CARS BLUE,42695.64,24838,2067
82482,WOODEN PICTURE FRAME WHITE FINISH,42396.03,17141,2006
23203,JUMBO BAG VINTAGE DOILY,42030.34,20485,1231
20713,JUMBO BAG OWLS,41332.89,21170,1314
22083,PAPER CHAIN KIT RETROSPOT,41256.41,13961,1401
22328,ROUND SNACK BOXES SET OF 4 FRUITS,40407.96,14602,1159
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,40250.98,10746,1085
22960,JAM MAKING SET WITH JARS,39639.31,9289,1159
85066,CREAM SWEETHEART MINI CHEST,39173.65,3128,929
22699,ROSES REGENCY TEACUP AND SAUCER,39061.14,13314,1424
82486,WOOD S/3 CABINET ANT WHITE FINISH,39004.8,4853,1274
20726,LUNCH BAG WOODLAND,38883.73,22301,1926
22629,SPACEBOY LUNCH BOX,38691.7,21193,1368
21485,RETROSPOT HEART HOT WATER BOTTLE,38585.35,7872,1385
21166,COOK WITH WINE METAL SIGN,38428.21,20063,1425
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385
20712,JUMBO BAG WOODLAND ANIMALS,37988.94,17936,1415
22727,ALARM CLOCK BAKELIKE RED,37857.61,9565,1363
21524,DOORMAT SPOTTY HOME SWEET HOME,36565.22,5329,1150
20724,RED RETROSPOT CHARLOTTE BAG,35558.23,32443,2035
22379,RECYCLING BAG RETROSPOT,35362.76,16053,1570
21755,LOVE BUILDING BLOCK WORD,35356.39,5726,1696
